"V1"	"V2"	"V3"	"V4"	"V5"	"V6"	"V7"	"V8"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"
"1"	595	347	128	58	23	7	3	0	1	1	0	0	0	0	0	0	0
"2"	608	321	150	56	23	2	2	1	0	0	0	0	0	0	0	0	0
"3"	589	336	137	56	33	7	2	2	0	0	0	0	1	0	0	0	0
"4"	592	339	129	68	22	9	2	1	0	0	1	0	0	0	0	0	0
"5"	623	324	134	52	16	10	4	0	0	0	0	0	0	0	0	0	0
"6"	598	307	159	65	24	6	1	3	0	0	0	0	0	0	0	0	0
"7"	583	334	146	55	28	10	5	1	0	1	0	0	0	0	0	0	0
"8"	575	353	149	55	17	8	5	1	0	0	0	0	0	0	0	0	0
"9"	592	348	139	58	15	6	2	1	2	0	0	0	0	0	0	0	0
"10"	600	331	140	56	24	7	4	0	1	0	0	0	0	0	0	0	0
"11"	617	316	145	53	19	8	4	1	0	0	0	0	0	0	0	0	0
"12"	580	347	146	61	17	9	0	3	0	0	0	0	0	0	0	0	0
"13"	589	347	145	48	22	8	3	0	0	1	0	0	0	0	0	0	0
"14"	604	308	150	74	15	8	3	1	0	0	0	0	0	0	0	0	0
"15"	590	335	142	60	28	6	1	1	0	0	0	0	0	0	0	0	0
"16"	601	319	144	58	29	9	3	0	0	0	0	0	0	0	0	0	0
"17"	607	338	130	55	23	4	2	4	0	0	0	0	0	0	0	0	0
"18"	581	345	139	59	24	9	4	1	1	0	0	0	0	0	0	0	0
"19"	581	355	141	54	19	12	0	1	0	0	0	0	0	0	0	0	0
"20"	569	367	139	64	15	6	2	1	0	0	0	0	0	0	0	0	0
"21"	597	317	145	65	28	7	3	1	0	0	0	0	0	0	0	0	0
"22"	599	342	117	60	25	8	4	5	2	1	0	0	0	0	0	0	0
"23"	603	332	144	55	17	7	3	2	0	0	0	0	0	0	0	0	0
"24"	594	333	143	64	17	7	1	1	2	1	0	0	0	0	0	0	0
"25"	628	318	133	50	21	11	1	1	0	0	0	0	0	0	0	0	0
"26"	583	341	136	59	31	9	1	2	1	0	0	0	0	0	0	0	0
"27"	624	318	118	64	26	7	5	0	1	0	0	0	0	0	0	0	0
"28"	570	368	137	50	23	10	3	0	2	0	0	0	0	0	0	0	0
"29"	568	344	152	66	19	8	5	0	0	0	0	1	0	0	0	0	0
"30"	595	306	164	65	24	8	1	0	0	0	0	0	0	0	0	0	0
"31"	588	322	159	60	25	6	2	0	1	0	0	0	0	0	0	0	0
"32"	590	340	143	59	19	6	4	0	2	0	0	0	0	0	0	0	0
"33"	600	341	136	54	18	10	3	1	0	0	0	0	0	0	0	0	0
"34"	597	333	140	63	20	7	0	2	0	0	0	1	0	0	0	0	0
"35"	576	356	133	60	30	5	1	0	0	2	0	0	0	0	0	0	0
"36"	595	331	134	71	25	2	1	2	2	0	0	0	0	0	0	0	0
"37"	599	343	139	54	18	4	3	1	2	0	0	0	0	0	0	0	0
"38"	578	331	150	72	22	8	2	0	0	0	0	0	0	0	0	0	0
"39"	587	338	151	61	20	3	2	1	0	0	0	0	0	0	0	0	0
